City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,saipan,15.1355,145.701,32.39,58,20,9.26,MP,1711764917
153,filadelfia,39.9523,-75.1638,9.05,47,0,7.72,US,1711764802
154,fukagawa,43.7081,142.0392,6.03,75,48,6.31,JP,1711765052
155,palmer,42.1584,-72.3287,4.73,56,40,4.63,US,1711764929
156,dauphin,51.1494,-100.0502,-2.83,97,96,3.42,CA,1711765054
157,tura,25.5198,90.2201,25.79,59,71,1.79,IN,1711765055
158,itoman,26.1247,127.6694,23.21,78,75,1.03,JP,1711765055
159,fangshan,39.6983,115.9925,17.02,17,10,4.6,CN,1711765056
160,fale old settlement,-9.3852,-171.2468,29.51,74,48,3.32,TK,1711765056
161,eberswalde,52.8349,13.8195,13.54,69,100,1.79,DE,1711765057
162,punta arenas,-53.15,-70.9167,4.06,81,40,9.26,CL,1711764774
163,east london,-33.0153,27.9116,19.21,78,58,4.05,ZA,1711764909
164,amurzet,47.6967,131.0981,3.72,42,79,4.34,RU,1711765059
165,polyarnyy,69.1989,33.4478,-13.26,100,88,2.21,RU,1711765059
166,bel ombre,-4.6167,55.4167,28.83,74,77,3.42,SC,1711765060
167,acarau,-2.8856,-40.12,26.37,90,8,3.05,BR,1711765010
168,jamestown,42.097,-79.2353,2.77,73,0,4.12,US,1711764964
169,stung treng,13.5259,105.9683,31.04,56,100,1.17,KH,1711765061
170,avarua,-21.2078,-159.775,31.03,70,20,5.14,CK,1711764926
171,hachinohe,40.5,141.5,11.37,59,10,8.59,JP,1711765062
172,margaret river,-33.95,115.0667,20.35,67,31,2.94,AU,1711765063
173,kalemie,-5.9475,29.1947,23.01,88,99,2.69,CD,1711765063
174,malvan,16.0667,73.4667,25.62,77,20,1.31,IN,1711765064
175,kodyma,48.0988,29.1246,8.12,60,100,2.88,UA,1711765064
176,kingston,17.997,-76.7936,24.0,78,70,1.44,JM,1711764977
177,yemetsk,63.4721,41.7941,-1.65,94,100,2.84,RU,1711765065
178,ugoofaaru,5.6667,73.0,29.0,75,78,3.29,MV,1711765066
179,huntsville,34.7304,-86.5861,14.99,50,0,0.0,US,1711764963
180,kourou,5.1552,-52.6478,24.03,93,100,2.23,GF,1711765067
181,eastham,41.8301,-69.9739,7.77,65,0,4.02,US,1711765067
182,castillos,-34.1667,-53.8333,19.7,94,1,1.54,UY,1711765068
183,thompson,55.7435,-97.8558,-5.66,95,100,2.19,CA,1711765068
184,bonthe,7.5264,-12.505,25.35,79,85,2.22,SL,1711765069
185,egilsstadir,65.2653,-14.3948,-2.05,93,100,11.32,IS,1711765069
186,kargasok,59.0556,80.8572,1.09,95,100,1.79,RU,1711765069
187,mokhsogollokh,61.4681,128.9203,-16.54,74,60,3.86,RU,1711765070
188,zeya,53.75,127.2667,-5.84,81,100,4.6,RU,1711765071
189,cabo san lucas,22.8909,-109.9124,22.17,68,0,4.12,MX,1711764694
190,la mira,18.035,-102.3266,22.76,67,73,1.77,MX,1711765072
191,odessa,46.4775,30.7326,9.25,71,70,2.97,UA,1711765072
192,campo maior,-4.8278,-42.1686,23.91,97,86,1.6,BR,1711765072
193,vorkuta,67.5,64.0,-10.97,96,100,2.67,RU,1711765073
194,dunedin,-45.8742,170.5036,13.78,74,11,1.34,NZ,1711764889
195,kamakura,35.3089,139.5503,22.97,58,0,1.54,JP,1711765074
196,ponta delgada,37.7333,-25.6667,15.4,72,40,7.72,PT,1711765074
197,bowen,-20.0167,148.2333,28.25,56,46,8.86,AU,1711765075
198,dalhart,36.0595,-102.5133,15.82,28,0,4.12,US,1711765075
199,xuanzhou,30.9525,118.7553,24.16,49,100,2.93,CN,1711765076
200,limulunga,-15.0969,23.1376,20.43,90,98,1.11,ZM,1711765076
201,la sarre,48.8002,-79.1996,-5.11,88,100,3.49,CA,1711765077
202,pacific grove,36.6177,-121.9166,12.06,87,100,2.06,US,1711765027
203,beyneu,45.3167,55.2,2.8,56,12,1.52,KZ,1711765078
204,rio preto da eva,-2.6994,-59.6997,24.18,93,60,1.27,BR,1711765079
205,ilhabela,-23.7781,-45.3581,23.82,91,96,1.08,BR,1711765080
206,puerto lempira,15.2667,-83.7667,25.3,88,58,5.41,HN,1711765080
207,puerto boyaca,5.9758,-74.5885,24.57,86,86,0.33,CO,1711765081
208,olonkinbyen,70.9221,-8.7187,-6.41,70,100,8.76,SJ,1711765081
209,volzhskiy,48.7858,44.7797,6.73,76,100,5.88,RU,1711764948
210,bikenibeu village,1.3673,173.1241,30.98,79,20,5.14,KI,1711765082
211,luena,-11.7833,19.9167,17.94,95,99,0.67,AO,1711765083
212,port arthur,38.8,121.2667,13.12,42,0,7.05,CN,1711765083
213,kiomboi,-4.2667,34.3667,16.7,88,73,1.26,TZ,1711765084
214,luderitz,-26.6481,15.1594,16.58,83,8,2.15,NA,1711765084
215,puerto baquerizo moreno,-0.9,-89.6,25.42,81,54,4.1,EC,1711765085
216,nuuk,64.1835,-51.7216,-3.66,74,12,1.03,GL,1711764951
217,wer,27.0,77.1667,28.16,27,6,4.23,IN,1711765086
218,mossel bay,-34.1831,22.146,14.96,84,95,3.6,ZA,1711765086
219,carnarvon,-24.8667,113.6333,28.16,41,85,4.94,AU,1711765087
220,usogorsk,63.4106,48.6872,-1.85,95,100,1.41,RU,1711765087
221,the pas,53.8251,-101.2541,-3.99,86,100,4.12,CA,1711765088
222,talnakh,69.4865,88.3972,-9.67,93,100,9.21,RU,1711765088
223,new plymouth,-39.0667,174.0833,14.06,50,19,4.66,NZ,1711764800
224,kununurra,-15.7667,128.7333,33.99,52,23,3.09,AU,1711764848
225,uliastay,47.7417,96.8444,1.29,57,20,2.04,MN,1711765090
226,payyannur,12.1,75.2,26.65,80,49,1.32,IN,1711765090
227,arraial do cabo,-22.9661,-42.0278,24.31,92,100,6.69,BR,1711764861
228,flying fish cove,-10.4217,105.6791,27.82,78,75,4.63,CX,1711764926
229,utrik,11.2278,169.8474,27.0,77,96,7.95,MH,1711765091
230,madimba,-10.4,40.3333,24.33,93,13,2.75,TZ,1711764899
231,nemuro,43.3236,145.575,5.65,76,7,11.39,JP,1711765092
232,bosaso,11.2842,49.1816,26.56,69,69,2.44,SO,1711765093
233,melilla,35.2937,-2.9383,14.21,77,100,0.51,ES,1711765093
234,tucuma,-0.1833,-50.05,24.16,96,100,2.5,BR,1711764895
235,labytnangi,66.6572,66.4183,-11.97,96,100,1.34,RU,1711765094
236,byron bay,-28.65,153.6167,24.28,65,60,4.96,AU,1711765095
